date,vix_close,vix_ret1d,vix_ret5d,vix9d_close,vix9d_ret1d,vix9d_ret5d,vix3m_close,vix3m_ret1d,vix3m_ret5d,spy_close,spy_ret1d,spy_ret5d,qqq_close,qqq_ret1d,qqq_ret5d,iwm_close,iwm_ret1d,iwm_ret5d,tlt_close,tlt_ret1d,tlt_ret5d,tnx_close,tnx_ret1d,tnx_ret5d,uup_close,uup_ret1d,uup_ret5d,gld_close,gld_ret1d,gld_ret5d,vix_term_spread,vix_backwardation,vix_above20,vix_above30,spy_golden_cross,spy_price_vs_ma200,spy_pcr_vol,spy_gex_call,spy_gex_put,spy_gex,qqq_gex_call,qqq_gex_put,qqq_gex,iwm_gex_call,iwm_gex_put,iwm_gex,sec_tech_ret1d,sec_tech_ret5d,sec_fin_ret1d,sec_fin_ret5d,sec_health_ret1d,sec_health_ret5d,sec_energy_ret1d,sec_energy_ret5d,sec_indus_ret1d,sec_indus_ret5d,sec_cons_disc_ret1d,sec_cons_disc_ret5d,sec_cons_stap_ret1d,sec_cons_stap_ret5d,sec_util_ret1d,sec_util_ret5d,sec_material_ret1d,sec_material_ret5d,sec_realestate_ret1d,sec_realestate_ret5d,sec_comm_ret1d,sec_comm_ret5d,spy_gex_matched,spy_gex_band,spy_gex_oi_src,spy_gex_oi_cover,spy_gex_per_contract,qqq_gex_matched,qqq_gex_band,qqq_gex_oi_src,qqq_gex_oi_cover,qqq_gex_per_contract,iwm_gex_matched,iwm_gex_band,iwm_gex_oi_src,iwm_gex_oi_cover,iwm_gex_per_contract
2026-07-16,16.73,6.76,5.62,13.98,25.38,13.47,19.5,5.01,3.83,750.72,-0.54,-0.13,705.94,-1.64,-2.4,295.59,-0.06,-0.56,84.21,-0.04,-0.33,4.569,0.53,0.66,28.34,0.32,-0.07,364.96,-1.98,-3.5,5.52,0,0,0,1,8.33,1.1848,20222521.28,30018785.49,-9796264.21,6351914.2,14650307.77,-8298393.58,2891476.52,5887847.74,-2996371.22,-2.24,-4.22,0.34,2.18,2.22,-0.23,0.92,4.01,0.05,-0.53,0.29,0.42,2.8,3.14,0.55,0.75,0.77,1.25,2.02,2.78,-0.64,1.94,,,,,,,,,,,,,,,
2026-07-17,18.77,12.19,24.88,16.85,51.12,36.77,20.54,10.61,9.37,743.29,-0.99,-1.54,695.33,-1.5,-4.16,294.04,-0.52,-0.66,84.52,0.37,0.06,4.541,-0.61,-0.61,28.33,-0.04,-0.21,368.41,0.95,-2.28,3.69,0,0,0,1,7.19,1.1978,23208163.73,39910474.08,-16702310.35,6598013.13,16468163.45,-9870150.32,,,,-1.09,-5.48,-0.86,0.99,-0.44,0.16,1.16,4.72,-0.41,-1.38,-1.62,-1.54,-0.72,1.27,-0.66,-0.53,-0.71,-0.71,-0.09,2.18,-1.78,-0.89,,,,,,,,,,,,,,,
2026-07-20,18.65,-0.64,8.68,17.78,5.52,17.51,20.4,-0.68,3.87,742.09,-0.16,-0.95,696.06,0.1,-2.2,292.31,-0.59,-0.4,83.89,-0.75,-0.1,4.598,1.26,-0.24,28.39,0.21,-0.39,367.6,-0.22,0.13,2.62,0,0,0,1,6.95,1.1561,23567905.34,44525394.08,-20957488.73,8267339.5,17777222.12,-9509882.62,2926244.7,7567957.48,-4641712.77,0.07,-3.07,-0.39,-0.05,-1.14,-1.34,0.45,2.11,-0.72,-1.25,-0.72,-1.23,-0.39,0.32,-0.51,-1.71,-0.99,-1.09,-0.42,1.19,0.14,-0.71,,,,,,,,,,,,,,,
2026-07-21,17.05,-8.58,3.33,15.48,-8.13,2.31,19.59,-4.63,-0.25,748.28,0.83,-0.47,708.97,1.85,-1.49,296.54,1.45,0.69,83.66,-0.27,-0.5,4.628,0.65,0.94,28.48,0.32,0.32,374.81,1.96,0.71,4.11,0,0,0,1,7.78,1.2091,27813672.95,44309231.19,-16495558.24,10407623.93,17536179.8,-7128555.87,3468372.09,7311523.15,-3843151.06,2.89,-1.55,0.12,-0.12,0.63,1.24,0.97,2.72,0.3,-0.99,0.23,-0.89,-0.94,0.77,-0.04,-1.69,0.14,-1.07,-0.07,1.62,-0.69,-1.27,,,,,,,,,,,,,,,
2026-07-22,16.64,-2.4,6.19,14.88,-11.69,-1.65,19.54,-4.87,-0.51,747.41,-0.12,-0.98,705.35,-0.51,-1.73,293.79,-0.93,-0.67,83.44,-0.26,-0.95,4.657,0.63,2.46,28.45,-0.11,0.71,379.12,1.15,1.82,4.66,0,0,0,1,7.59,1.2412,28859878.91,47090058.16,-18230179.25,10373012.03,18737782.18,-8364770.15,3434589.51,8648094.44,-5213504.92,-0.28,-0.72,-0.11,-0.9,-0.51,0.72,1.2,4.78,0.11,-0.67,-0.74,-2.55,0.38,1.09,2.25,1.57,1.44,0.63,-0.42,1.01,-0.75,-3.69,,,,,,,,,,,,,,,
2026-07-23,18.7,12.38,11.78,16.85,20.53,51.12,20.54,5.33,10.61,738.18,-1.23,-1.67,691.96,-1.9,-1.98,292.09,-0.58,-1.18,83.17,-0.32,-1.24,4.703,0.99,2.93,28.56,0.39,0.78,371.52,-2.0,1.8,3.69,0,0,0,1,6.2,1.2013,68582.88,0.0,68582.88,0.0,1124.24,-1124.24,,,,-1.01,0.52,-0.39,-1.62,1.26,-0.22,0.3,4.14,1.73,0.99,-4.61,-7.31,-1.39,-3.03,0.57,1.58,-1.04,-1.18,-0.13,-1.12,-3.5,-6.45,27.0,30-45,yf+alpaca,1.0,2540.1067,6.0,30-45,yf+alpaca,1.0,-187.3738,,,,,
2026-07-24,18.58,-0.64,-1.01,17.62,4.57,16.46,20.51,-0.15,4.43,738.93,0.1,-0.59,684.23,-1.12,-1.6,291.17,-0.31,-0.98,83.25,0.1,-1.5,4.679,-0.51,3.04,28.58,0.07,0.88,371.9,0.1,0.95,2.89,0,0,0,1,6.26,1.1735,7388253.49,13165607.26,-5777353.76,1137882.31,2351048.35,-1213166.03,149743.72,465210.75,-315467.03,-1.44,0.17,0.86,0.09,0.7,0.92,0.4,3.36,0.4,1.81,0.6,-5.22,1.11,-1.24,0.22,2.48,1.93,1.44,2.22,1.17,0.87,-3.93,692.0,30-45,yf+alpaca,1.0,-8348.7771,594.0,30-45,yf+alpaca,1.0,-2042.3671,157.0,30-45,yf+alpaca,1.0,-2009.3441
2026-07-27,18.67,0.48,0.11,18.13,7.6,19.83,20.2,-1.66,2.85,739.09,0.02,-0.4,682.12,-0.31,-2.0,292.91,0.6,0.21,83.75,0.6,-0.17,4.641,-0.81,0.94,28.6,0.07,0.74,374.63,0.73,1.91,2.07,0,0,0,1,6.22,0.984,7668601.92,13801285.01,-6132683.08,1287164.43,2598184.63,-1311020.2,176126.18,527257.28,-351131.09,-0.9,-0.8,1.01,1.5,0.51,2.61,-2.11,0.72,0.3,2.85,1.31,-3.29,1.46,0.59,-1.32,1.65,0.25,2.72,-0.41,1.17,1.28,-2.83,850.0,30-45,yf+alpaca,1.0,-7214.9213,851.0,30-45,yf+alpaca,1.0,-1540.5643,217.0,30-45,yf+alpaca,1.0,-1618.1156
2026-07-28,18.21,-2.46,6.8,17.25,2.37,14.01,19.86,-3.31,1.12,740.86,0.24,-0.99,675.49,-0.97,-4.72,293.37,0.16,-1.07,84.24,0.59,0.69,4.604,-0.8,-0.52,28.58,-0.07,0.35,369.37,-1.4,-1.45,2.61,0,0,0,1,6.42,1.0655,8724334.48,14299752.93,-5575418.45,1927749.42,2540829.06,-613079.64,210067.89,539985.3,-329917.41,-1.84,-5.36,1.27,2.66,2.36,4.37,-1.35,-1.59,-0.39,2.14,1.48,-2.08,1.99,3.57,-0.35,1.34,1.85,4.47,0.55,1.79,1.87,-0.33,852.0,30-45,yf+alpaca,1.0,-6543.9184,817.0,30-45,yf+alpaca,1.0,-750.4035,218.0,30-45,yf+alpaca,1.0,-1513.3826
2026-07-29,20.66,13.45,24.16,20.38,20.95,34.7,21.5,4.67,9.47,729.46,-1.54,-2.4,661.73,-2.04,-6.18,288.57,-1.64,-1.78,82.85,-1.65,-0.71,4.622,0.39,-0.75,28.42,-0.56,-0.11,371.08,0.46,-2.12,1.12,0,1,0,1,4.73,1.1427,6999044.9,16029715.36,-9030670.45,2733759.72,2827547.14,-93787.43,178593.51,598014.75,-419421.25,-2.64,-7.6,-1.6,1.12,-0.61,4.27,1.88,-0.93,-3.19,-1.22,-0.77,-2.11,0.34,3.53,-1.34,-2.22,-1.15,1.81,-0.11,2.11,-0.15,0.28,842.0,30-45,yf+alpaca,1.0,-10725.2618,730.0,30-45,yf+alpaca,1.0,-128.4759,219.0,30-45,yf+alpaca,1.0,-1915.1655
